indice,comentario,sentimento_humano,sentimento_BERT
0,"Isso é muito bom,porém estudos mostram
que essa é a geração terá o QI abaixo do esperado com tudo isso",n,n
1,Entender e praticar isso tudo é  ordemmmmm!!!!! Vc é toppp demais,x,n
2,Sensacional,p,p
3,ola parabens pelo trabalho,x,x
4,"Primeira vez que vejo uma edição nesse nível  ,se é loku",x,x
5,"Eu faço questão de deixar o like e salvar todos os vídeos, Daniel é elite, isso aqui é youtube Gold, meus amigos!",x,x
6,"Conteúdo interessante mas você tem que achar um desses aí que melhore seu Ingles. Puta bixo, não é EA tá aí e AÍ.",x,x
7,Esse é o futuro!,p,n
8,"A inteligência artificial está mudando o jogo, mas um questionamento importante é até onde estamos dispostos a deixar que ela controle nossas vidas? Já temos uma enxurrada de empregos sendo tomados pela IA. Já temos uma infinidade de conteúdos sendo criados de forma automática. A IA já está sendo utilizada para várias formas de manipulação. Ou seja, a pergunta que fica é se, em algum momento, perderemos o controle sobre nossas próprias vidas deixando que as máquinas nos guiem pela direção que quiserem?",n,n
9,Tem uma IA boa para realizar apresentações em PowerPoint?,x,x
10,*Vendo essas I.A a primeira coisa que me vem em mente é o seriado Black Mirror.*,n,n
11,"Em vez de educar o ser humano, tão educando ad máquinas. A máquinas herdarão a terra?",n,n
12,Agora fiquei curioso pra saber o último que ele não quis contar,x,x
13,"7:25 ah desgraçada, eu vejo isso toda hora em anúncio de Instagram",x,x
14,"Amigo não conhecia teu canal, mas uma dica, você fala baixo, e se porta de maneira contida. Melhore isso que sua edição e roteiro são ótimas e mantém a gente assistindo.",x,x
15,Esse vídeo  ficou TOP demais. Parabéns,x,x
16,"Eu querendo apenas um Jarvis igual do Homem de Ferro no meu celular, os caras apelando com AI usando tecnologia fora do normal.",x,x
17,Cade parte 2 Blaze,x,x
18,Os likes nesse comentário são quantos reais o editor vai ganhar a mais nesse mês kkkkk,x,x
19,"Vídeo espetacular
Parte 2 + bônus",x,x
20,'Bem-vinda' Skynet...,n,x
21,"""Rewind i ei""
É rewind ei ai (A I)",x,x
22,"Faz um vídeo falando sobre as corretoras de opções Binarias.  Muitas reclamações de pessoas que foram enganadas por corretoras famosas como IQ Option, quotex e binomo",x,x
23,Esse canal e realmente inovador,x,x
24,Mais a Compose IA só tem em ingles?,x,x
25,"Ta gente mais imagina todas essas inteligências artificiais em um robo , imagina so como seria o mundo",n,n
26,meu Deus que conteúdo...,x,x
27,🍿🗿🥤,x,x
28,Top,x,x
29,Elas vão aprender com você a ser você.,n,n
